24/11/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sku,401.Quantit,401.Sales Quantity,401.Sales Value,402.Quantit,402.Sales Quantity,402.Sales Value,404.Quantit,404.Sales Quantity,404.Sales Value,405.Quantit,405.Sales Quantity,405.Sales Value,412.Quantit,412.Sales Quantity,412.Sales Value,416.Quantit,416.Sales Quantity,416.Sales Value,417.Quantit,417.Sales Quantity,417.Sales Value,423.Quantit,423.Sales Quantity,423.Sales Value,424.Quantit,424.Sales Quantity,424.Sales Value,425.Quantit,425.Sales Quantity,425.Sales Value,426.Quantit,426.Sales Quantity,426.Sales Value,429.Quantit,429.Sales Quantity,429.Sales Value,444.Quantit,444.Sales Quantity,444.Sales Value,490.Quantit,490.Sales Quantity,490.Sales Value,TTL Sold Qty,TTL Value,SOH
734909,3,0,0,3,0,0,3,0,0,6,0,0,3,0,0,7,2,98,2,0,0,2,0,0,5,0,0,1,1,49,2,0,0,1,0,0,0,0,0,0,0,0,3,147,38
734910,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,6,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
734911,4,0,0,2,0,0,1,0,0,5,0,0,4,0,0,8,0,0,5,0,0,3,0,0,3,1,49,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,49,38
734912,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,5,0,0,0,0,0,4,0,0,5,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,26
734913,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,6,0,0,0,0,0,4,0,0,5,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,25
734914,3,0,0,2,0,0,3,0,0,6,0,0,3,0,0,6,0,0,2,0,0,4,0,0,3,3,147,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,147,35
734915,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,6,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
734916,4,0,0,2,0,0,4,0,0,6,0,0,4,0,0,5,1,59,2,0,0,4,0,0,4,0,0,0,1,59,1,0,0,1,0,0,0,0,0,0,0,0,2,118,37
734917,4,0,0,2,0,0,3,0,0,9,0,0,4,0,0,6,0,0,3,0,0,4,0,0,6,0,0,0,1,59,1,0,0,0,0,0,0,0,0,0,0,0,1,59,42
734918,4,0,0,2,0,0,4,0,0,8,1,99,4,0,0,6,0,0,2,0,0,4,0,0,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,99,43
734920,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,3,1,69,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,17
734921,0,0,0,0,0,0,0,0,0,6,0,0,2,2,138,4,1,69,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,207,19
734922,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,5,0,0,0,0,0,2,1,69,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,19
734923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734927,2,0,0,2,0,0,2,0,0,7,0,0,2,0,0,7,2,98,3,0,0,3,0,0,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,98,36
734928,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,4,1,49,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,25
734929,0,0,0,0,0,0,0,0,0,5,1,49,4,0,0,5,1,49,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,98,23
734930,0,0,0,0,0,0,0,0,0,4,1,49,4,0,0,6,0,0,0,0,0,3,0,0,4,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,98,21
734931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734937,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
734938,3,0,0,0,0,0,0,0,0,4,0,0,3,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
734939,4,0,0,2,0,0,4,0,0,6,0,0,4,0,0,6,0,0,2,0,0,4,0,0,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,41
734940,3,0,0,2,0,0,2,0,0,4,0,0,2,0,0,4,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25
734941,0,0,0,2,0,0,2,0,0,4,0,0,3,0,0,4,0,0,2,0,0,2,0,0,6,1,89,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,89,27
734942,4,0,0,3,0,0,4,0,0,6,1,49,4,0,0,7,0,0,3,0,0,4,0,0,3,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,98,38
734943,4,0,0,2,0,0,4,0,0,5,2,98,4,0,0,5,2,98,2,1,49,4,0,0,3,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,294,33
734944,2,1,49,2,0,0,3,0,0,3,3,147,3,0,0,4,1,49,2,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,245,25
734945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734948,3,0,0,0,0,0,2,0,0,6,0,0,4,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
734966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735669,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,5,1,49,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,22
735670,10,0,0,6,0,0,10,0,0,13,0,0,10,0,0,13,1,99,6,0,0,10,0,0,14,0,0,6,0,0,6,0,0,6,0,0,0,0,0,0,0,0,1,99,110
738068,2,0,0,2,0,0,2,0,0,4,0,0,2,0,0,4,0,0,1,1,129,2,0,0,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,129,26
738069,3,0,0,2,0,0,2,0,0,4,0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,26
738071,4,0,0,4,0,0,4,0,0,6,0,0,3,1,49,6,0,0,4,0,0,4,0,0,5,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,1,49,48
738072,4,0,0,4,0,0,4,0,0,5,0,0,2,2,76,5,0,0,4,0,0,4,0,0,6,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,2,76,46
738073,4,0,0,4,0,0,4,0,0,6,0,0,1,3,125,5,0,0,4,0,0,4,0,0,6,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,3,125,46
738074,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
738075,2,0,0,0,0,0,0,0,0,4,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,1,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,269,13
738076,2,0,0,0,0,0,0,0,0,4,0,0,2,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
738077,2,0,0,0,0,0,0,0,0,3,0,0,2,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
738078,9,2,98,11,2,98,7,0,0,46,5,245,3,2,98,40,9,441,8,3,147,7,0,0,6,7,343,3,0,0,4,0,0,2,2,98,6,0,0,0,0,0,32,1568,152
738079,3,0,0,2,0,0,2,0,0,4,0,0,3,0,0,4,0,0,2,0,0,2,0,0,2,1,99,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,99,26
738080,3,0,0,2,0,0,2,0,0,4,0,0,3,0,0,4,0,0,2,0,0,2,0,0,3,1,60,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,60,27
738081,2,0,0,1,0,0,0,0,0,3,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,1,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,139,12
739727,6,0,0,4,0,0,6,0,0,11,4,396,6,0,0,13,2,198,4,0,0,6,0,0,4,6,594,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,12,1188,66
739728,5,1,99,4,0,0,6,0,0,15,0,0,6,0,0,13,2,198,4,0,0,6,0,0,8,2,198,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,5,495,73
0,235,7,443,155,6,714,198,4,376,627,24,2106,317,14,922,613,38,2782,151,10,620,311,3,247,469,42,3459,70,4,286,69,1,49,65,2,98,21,0,0,0,0,0,155,12102,3301
