Part No,Description,UPC,ARQOOB SOH,HMV_SOH,VMS-U_SOH,VMS-Q_SOH,Vir_SOH,Retailer SOH,HMV_Cost,VMS-U_Cost,VMS-Q_Cost,Vir (QAR)_Cost,Final_Cost,HMV_Price,VMS-U_Price,VMS-Q_Price,Vir (QAR)_Price,HMV_RRP,VMS-U_RRP,VMS-Q_RRP,Vir (QAR)_RRP,Jan_HMV,Jan_VMS-U,Jan_VMS-Q,Jan_Vir,Jan_Total,Feb_HMV,Feb_VMS-U,Feb_VMS-Q,Feb_Vir,Feb_Total,Mar_HMV,Mar_VMS-U,Mar_VMS-Q,Mar_Vir,Mar_Total,Apr_HMV,Apr_VMS-U,Apr_VMS-Q,Apr_Vir,Apr_Total,May_HMV,May_VMS-U,May_VMS-Q,May_Vir,May_Total,Jun_HMV,Jun_VMS-U,Jun_VMS-Q,Jun_Vir,Jun_Total,Jul_HMV,Jul_VMS-U,Jul_VMS-Q,Jul_Vir,Jul_Total,Month,Weeks
CATSX-D0G      ,Baseu Enjoyment Type-C to HDMI+USB HUB  Gray,6.95316E+12,4,,0,,2,2,,61,,,61,,124.5,,146.4705,,259,,269,,0,,,0,,0,,,0,,0,,0,0,,0,,0,0,,0,,0,0,,0,,0,0,,0,,0,0,0,5
,Baseus Enjoyment  Type-C to VGA+ USB 3.0  HUB Gray,6.95316E+12,,,,,3,3,,,,,0,,,,64.7955,,,,119,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,5
NGA02-03,Baseus Encok Mini Wireless Earphone A02 Blue,6.95316E+12,27,1,,,,1,20.21,,,,20.21,48.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1,,,,,0,0,,,,0,1,5
NGA02-0V,Baseus Encok Mini Wireless Earphone A02 Gold,6.95316E+12,,3,,,,3,19.42,,,,19.42,48.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1,2,,,,2,0,,,,0,2,5
NGA02-0A,Baseus Encok Mini Wireless Earphone A02 Tarnish,6.95316E+12,,1,,,,1,19.42,,,,19.42,48.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,2,,,,2,,,,,0,1,,,,1,2,5
SUER-A09       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE RED                                                  ,6.95316E+12,38,,1,,,1,,11.11,,,11.11,,24.5,,,,49,,,,1,,,1,,2,,,2,,0,,,0,,0,,,0,,2,,,2,,1,,,1,,0,,,0,4,5
SUER-B09       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET ROSE RED                                                          ,6.95316E+12,1,,0,,,0,,11.76,,,11.76,,24.5,,,,49,,,,4,,,4,,2,,,2,,7,,,7,,2,,,2,,0,,,0,,0,,,0,,0,,,0,4,5
SUPMD-01,Baseus Symbol Ring Bracket Black,6.95316E+12,7,4,,,4,8,7.19,,,,7.19,32.45,,,32.1255,,,,59,,,,,0,,,,,0,,,,0,0,,,,1,1,,,,0,0,1,,,1,2,0,,,0,0,2,5
SUPMD-03,Baseus Symbol Ring Bracket Blue,6.95316E+12,33,5,,,6,11,7.19,,,,7.19,32.45,,,32.1255,,,,59,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,,,0,0,0,5
,Baseus Symbol Ring Bracket Red,6.95316E+12,25,,,,6,6,,,,,0,,,,32.1255,,,,59,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,5
,Baseus Symbol Ring Bracket Glod,6.95316E+12,46,,,,5,5,,,,,0,,,,32.1255,,,,59,,,,,0,,,,,0,,,,0,0,,,,1,1,,,,0,0,,,,0,0,,,,0,0,1,5
SUHS-DP01      ,BASEUS DOUBLE CLIP HORIZONTAL VEHICLE MOUNT BLACK                                                             ,6.95316E+12,6,,0,16,,16,,13.48,13.48,,13.48,,29.5,29.5,,,59,59,,,5,,,5,,1,10,,11,,4,2,,6,,1,3,,4,,0,1,,1,,0,2,,2,,0,2,,2,7,5
SUHS-DP0S      ,BASEUS DOUBLE CLIP HORIZONTAL VEHICLE MOUNT SILVER                                                            ,6.95316E+12,,,0,,,0,,13.51,,,13.51,,29.5,,,,59,,,,3,,,3,,2,,,2,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,2,5
SUGX-A01       ,BASEUS MAGNETIC AIR VENT CAR MOUNT HOLDER WITH CABLE CLIP BLACK                                               ,6.95316E+12,81,,0,,,0,,12.05,,,12.05,,29.5,,,,59,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,0,5
SUGX-A0V       ,BASEUS MAGNETIC AIR VENT CAR MOUNT HOLDER WITH CABLE CLIP GOLD                                                ,6.95316E+12,11,,0,,,0,,11.76,,,11.76,,29.5,,,,59,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,0,5
