Sku,UPC,Catalogue N,Label,Arq COST,Cost Price,V.S.P.,Latest SOH,02-2019: QTY SOLD,02-2019: QTY SOLDArqoob Cost,02-2019: QTY SOLDQTY SOLD VALUE,03-2019: QTY SOLD,03-2019: QTY SOLDArqoob Cost,03-2019: QTY SOLDQTY SOLD VALUE,04-2019: QTY SOLD,04-2019: QTY SOLDArqoob Cost,04-2019: QTY SOLDQTY SOLD VALUE,05-2019: QTY SOLD,05-2019: QTY SOLDArqoob Cost,05-2019: QTY SOLDQTY SOLD VALUE,06-2019: QTY SOLD,06-2019: QTY SOLDArqoob Cost,06-2019: QTY SOLDQTY SOLD VALUE,07-2019: QTY SOLD,07-2019: QTY SOLDArqoob Cost,07-2019: QTY SOLDQTY SOLD VALUE,08-2019: QTY SOLD,08-2019: QTY SOLDArqoob Cost,08-2019: QTY SOLDQTY SOLD VALUE,09-2019: QTY SOLD,09-2019: QTY SOLDArqoob Cost,09-2019: QTY SOLDQTY SOLD VALUE,Total Qty Sold,Total Arqoob Cost,Total Arqhoob Price,Qty Avg Day,Qty Avg Month,Value Avg Month,Qty Stock Value,Days Stock in Hand,Current stock cover upto (Week),Current stock cover upto (Month),Current stock cover upto (Date)
743975,6953156279018.0,SUCJG9-01      ,BASEUS                        ,5.259999999999998,24.5,49,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,inf,inf,null
758117,7447902861996.0,BAC-105        ,BRAVE                         ,23.0,49.5,99,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0,0.0,inf,inf,null
758119,744790286205.0,BTC-320BK      ,BRAVE                         ,22.0,49.5,99,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.0,0.0,inf,inf,null
758121,6953156288126.0,SUWNT-01       ,BASEUS                        ,7.61,34.5,69,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.5,0.0,inf,inf,null
758124,6953156288133.0,SUWNT-02       ,BASEUS                        ,7.61,34.5,69,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.0,0.0,inf,inf,null
758125,6953156271791.0,WXYL-A01       ,BASEUS                        ,37.13,79.5,159,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1033.5,0.0,inf,inf,null
758126,6953156278585.0,CATL45-01      ,BASEUS                        ,9.66,34.5,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,null
758127,6953156282278.0,CATL41-01      ,BASEUS                        ,9.9,34.5,69,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.5,0.0,inf,inf,null
758128,6953156285101.0,WXZN-B01       ,BASEUS                        ,52.61,104.5,209,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.5,0.0,inf,inf,null
758226,6953156290853.0,ACJHQ-01       ,BASEUS                        ,26.0,54.5,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,null
