Sku,UPC,Catalogue N,Label,Arq COST,Cost Price,V.S.P.,Latest SOH,01-2019: QTY SOLD,01-2019: QTY SOLDArqoob Cost,01-2019: QTY SOLDQTY SOLD VALUE,02-2019: QTY SOLD,02-2019: QTY SOLDArqoob Cost,02-2019: QTY SOLDQTY SOLD VALUE,03-2019: QTY SOLD,03-2019: QTY SOLDArqoob Cost,03-2019: QTY SOLDQTY SOLD VALUE,04-2019: QTY SOLD,04-2019: QTY SOLDArqoob Cost,04-2019: QTY SOLDQTY SOLD VALUE,05-2019: QTY SOLD,05-2019: QTY SOLDArqoob Cost,05-2019: QTY SOLDQTY SOLD VALUE,06-2019: QTY SOLD,06-2019: QTY SOLDArqoob Cost,06-2019: QTY SOLDQTY SOLD VALUE,07-2019: QTY SOLD,07-2019: QTY SOLDArqoob Cost,07-2019: QTY SOLDQTY SOLD VALUE,08-2019: QTY SOLD,08-2019: QTY SOLDArqoob Cost,08-2019: QTY SOLDQTY SOLD VALUE,09-2019: QTY SOLD,09-2019: QTY SOLDArqoob Cost,09-2019: QTY SOLDQTY SOLD VALUE,Total Qty Sold,Total Arghoob Cost,Total Arqhoob Price,Qty Avg Day,Qty Avg Month,Value Avg Month,Qty Stock Value,Days Stock in Hand,Current stock cover upto (Week),Current stock cover upto (Month),Current stock cover upto (Date)
734975,6953156282087,WIAPIPH65-BE08 ,BASEUS                        ,7.71,24.5,49,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
734976,6953156281738,CALEYE-01      ,BASEUS                        ,14.32,39.5,79,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
734981,6953156281745,CALEYE-02      ,BASEUS                        ,14.32,39.5,79,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
735669,6953156253087,SUER-B0R       ,BASEUS                        ,11.76,24.5,49,0,0,0.0,0.0,3,35.28,73.5,2,23.52,49.0,2,23.52,49.0,0,0.0,0.0,2,23.52,49.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,9.0,105.84,220.5,0.03,1.0,24.5,0.0,0.0,0.0,0.0,
735670,6953156277526,SGAPIPHX-RA01  ,BASEUS                        ,7.44,19.5,39,1,4,29.76,78.0,12,89.28,234.0,26,193.44,507.0,16,119.04,312.0,3,22.32,58.5,2,14.88,39.0,1,7.44,19.5,1,7.44,19.5,0,0.0,0.0,65.0,483.6,1267.5,0.24,7.22,140.83,19.5,4.17,1.0,0.0,2019-09-19
738068,6953156275522,WXHSG-02       ,BASEUS                        ,28.72,59.5,129,0,0,0.0,0.0,1,28.72,59.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,28.72,59.5,0.0,0.11,6.61,0.0,0.0,,,
738069,6953156275515,WXHSG-01       ,BASEUS                        ,28.72,59.5,129,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
738071,6953156280816,SUXUN-BY0G     ,BASEUS                        ,12.62,24.5,49,0,2,25.24,49.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2.0,25.24,49.0,0.01,0.22,5.44,0.0,0.0,0.0,0.0,
738072,6953156280809,SUXUN-BY09     ,BASEUS                        ,12.62,24.5,49,0,2,25.24,49.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,12.62,24.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3.0,37.86,73.5,0.01,0.33,8.17,0.0,0.0,0.0,0.0,
738073,6953156280793,SUXUN-BY01     ,BASEUS                        ,12.63,19.5,39,0,1,12.63,19.5,0,0.0,0.0,2,25.26,39.0,1,12.63,19.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4.0,50.52,78.0,0.01,0.44,8.67,0.0,0.0,0.0,0.0,
